,,Subject,,,659,
,,Protocol,,,Level_8 v2,
,,Type,,,Master,
,,Channel,,,8,
,,Master,,,,
,,Date,,,2025-12-12,
,,Time,,,17:50:37,570,
,,Clock,,,5,
,,Time Warp,,,1x,
0,0,000,Start,,,,
1,0,000,Entry,0,Ready,,
2,0,005,Exit,0,Ready,Time,
3,0,005,Entry,1,MagEntry,,
4,0,005,Reg,2,ComptNbessai,    1,000,
5,0,005,Reg,13,Accuracy, 4500,000,
6,0,005,Reg,14,Omission,    0,000,
7,3,575,Input,1,On1A1,,
8,3,575,Exit,1,MagEntry,1,
9,3,575,Entry,2,ITI2sec,,
10,3,915,Input,33,Off1A1,,
11,5,580,Exit,2,ITI2sec,Time,
12,5,580,Entry,3,RandomHole,,
13,5,590,Exit,3,RandomHole,Time,
14,5,590,List,,Pseudo1a5,    6,000,
15,5,590,Entry,6,hole1,,
16,5,590,Reg,12,HoleNumber,    1,000,
17,7,095,Exit,6,hole1,Time,
18,7,095,Entry,7,Holdhole1,,
19,8,600,Exit,7,Holdhole1,Time,
20,8,600,Entry,16,Omission,,
21,8,600,Reg,1,ComptOmision,    1,000,
22,8,600,Reg,9,Omision,    1,000,
23,8,610,Exit,16,Omission,Time,
24,8,610,Entry,5,TimeOut,,
25,13,615,Exit,5,TimeOut,Time,
26,13,615,Entry,1,MagEntry,,
27,13,615,Reg,2,ComptNbessai,    2,000,
28,13,615,Reg,13,Accuracy, 2250,000,
29,13,615,Reg,14,Omission,    0,000,
30,63,715,Input,1,On1A1,,
31,63,715,Exit,1,MagEntry,1,
32,63,715,Entry,2,ITI2sec,,
33,65,035,Input,33,Off1A1,,
34,65,160,Input,1,On1A1,,
35,65,720,Exit,2,ITI2sec,Time,
36,65,720,Entry,3,RandomHole,,
37,65,730,Exit,3,RandomHole,Time,
38,65,730,List,,Pseudo1a5,   10,000,
39,65,730,Entry,10,hole3,,
40,65,730,Reg,12,HoleNumber,    3,000,
41,67,126,Input,33,Off1A1,,
42,67,235,Exit,10,hole3,Time,
43,67,235,Entry,11,Holdhole3,,
44,68,235,Exit,11,Holdhole3,Time,
45,68,235,Entry,16,Omission,,
46,68,235,Reg,1,ComptOmision,    2,000,
47,68,235,Reg,9,Omision,    2,000,
48,68,245,Exit,16,Omission,Time,
49,68,245,Entry,5,TimeOut,,
50,68,250,Input,4,On1A4,,
51,69,565,Input,36,Off1A4,,
52,70,585,Input,1,On1A1,,
53,70,925,Input,33,Off1A1,,
54,71,050,Input,1,On1A1,,
55,71,390,Input,33,Off1A1,,
56,71,505,Input,1,On1A1,,
57,71,845,Input,33,Off1A1,,
58,73,250,Exit,5,TimeOut,Time,
59,73,250,Entry,1,MagEntry,,
60,73,250,Reg,2,ComptNbessai,    3,000,
61,73,250,Reg,13,Accuracy, 1500,000,
62,73,250,Reg,14,Omission,    0,000,
63,80,000,Input,3,On1A3,,
64,80,000,Input,4,On1A4,,
65,80,990,Input,35,Off1A3,,
66,80,990,Input,36,Off1A4,,
67,81,780,Input,1,On1A1,,
68,81,780,Exit,1,MagEntry,1,
69,81,780,Entry,2,ITI2sec,,
70,82,445,Input,33,Off1A1,,
71,82,860,Input,1,On1A1,,
72,83,200,Input,33,Off1A1,,
73,83,240,Input,1,On1A1,,
74,83,785,Exit,2,ITI2sec,Time,
75,83,785,Entry,3,RandomHole,,
76,83,795,Exit,3,RandomHole,Time,
77,83,795,List,,Pseudo1a5,   12,000,
78,83,795,Entry,12,hole4,,
79,83,795,Reg,12,HoleNumber,    4,000,
80,84,560,Input,33,Off1A1,,
81,85,300,Exit,12,hole4,Time,
82,85,300,Entry,13,Holdhole4,,
83,85,400,Input,2,On1A2,,
84,85,400,Input,3,On1A3,,
85,85,400,Exit,13,Holdhole4,3,
86,85,400,Entry,17,CorrectResp,,
87,85,400,Reg,3,ComptCR,    1,000,
88,85,400,Reg,6,Reward,    1,000,
89,85,400,Reg,8,CptReward,   46,000,
90,85,400,Reg,1,ComptOmision,    0,000,
91,85,405,Exit,17,CorrectResp,Time,
92,85,405,Entry,1,MagEntry,,
93,85,405,Reg,2,ComptNbessai,    4,000,
94,85,405,Reg,13,Accuracy, 1150,000,
95,85,405,Reg,14,Omission,    0,000,
96,86,070,Input,34,Off1A2,,
97,86,070,Input,35,Off1A3,,
98,86,305,Input,1,On1A1,,
99,86,305,Exit,1,MagEntry,1,
100,86,305,Entry,2,ITI2sec,,
101,87,620,Input,33,Off1A1,,
102,88,310,Exit,2,ITI2sec,Time,
103,88,310,Entry,3,RandomHole,,
104,88,320,Exit,3,RandomHole,Time,
105,88,320,List,,Pseudo1a5,   14,000,
106,88,320,Entry,14,hole5,,
107,88,320,Reg,12,HoleNumber,    5,000,
108,89,825,Exit,14,hole5,Time,
109,89,825,Entry,15,Holdhole5,,
110,91,330,Exit,15,Holdhole5,Time,
111,91,330,Entry,16,Omission,,
112,91,330,Reg,1,ComptOmision,    1,000,
113,91,330,Reg,9,Omision,    3,000,
114,91,340,Exit,16,Omission,Time,
115,91,340,Entry,5,TimeOut,,
116,94,145,Input,3,On1A3,,
117,94,485,Input,35,Off1A3,,
118,94,500,Input,3,On1A3,,
119,94,840,Input,35,Off1A3,,
120,94,985,Input,4,On1A4,,
121,95,325,Input,36,Off1A4,,
122,95,350,Input,2,On1A2,,
123,95,350,Input,3,On1A3,,
124,96,015,Input,34,Off1A2,,
125,96,015,Input,35,Off1A3,,
126,96,345,Exit,5,TimeOut,Time,
127,96,345,Entry,1,MagEntry,,
128,96,345,Reg,2,ComptNbessai,    5,000,
129,96,345,Reg,13,Accuracy,  920,000,
130,96,345,Reg,14,Omission,    0,000,
131,111,885,Input,4,On1A4,,
132,112,550,Input,36,Off1A4,,
133,122,940,Input,4,On1A4,,
134,123,605,Input,36,Off1A4,,
135,123,720,Input,2,On1A2,,
136,123,720,Input,3,On1A3,,
137,124,385,Input,34,Off1A2,,
138,124,385,Input,35,Off1A3,,
139,124,575,Input,3,On1A3,,
140,124,575,Input,4,On1A4,,
141,125,565,Input,35,Off1A3,,
142,125,565,Input,36,Off1A4,,
143,131,210,Input,1,On1A1,,
144,131,210,Exit,1,MagEntry,1,
145,131,210,Entry,2,ITI2sec,,
146,131,875,Input,33,Off1A1,,
147,133,090,Input,3,On1A3,,
148,133,090,Exit,2,ITI2sec,3,
149,133,090,Entry,4,Premature,,
150,133,090,Reg,5,ComptPremat,    1,000,
151,133,095,Exit,4,Premature,Time,
152,133,095,Entry,5,TimeOut,,
153,133,430,Input,35,Off1A3,,
154,133,475,Input,3,On1A3,,
155,134,140,Input,35,Off1A3,,
156,138,100,Exit,5,TimeOut,Time,
157,138,100,Entry,1,MagEntry,,
158,138,100,Reg,2,ComptNbessai,    6,000,
159,138,100,Reg,13,Accuracy,  766,667,
160,138,100,Reg,14,Omission,    0,000,
161,140,300,Input,1,On1A1,,
162,140,300,Exit,1,MagEntry,1,
163,140,300,Entry,2,ITI2sec,,
164,140,965,Input,33,Off1A1,,
165,141,930,Input,2,On1A2,,
166,141,930,Exit,2,ITI2sec,2,
167,141,930,Entry,4,Premature,,
168,141,930,Reg,5,ComptPremat,    2,000,
169,141,935,Exit,4,Premature,Time,
170,141,935,Entry,5,TimeOut,,
171,142,595,Input,34,Off1A2,,
172,142,620,Input,3,On1A3,,
173,142,960,Input,35,Off1A3,,
174,146,940,Exit,5,TimeOut,Time,
175,146,940,Entry,1,MagEntry,,
176,146,940,Reg,2,ComptNbessai,    7,000,
177,146,940,Reg,13,Accuracy,  657,143,
178,146,940,Reg,14,Omission,    0,000,
179,148,445,Input,1,On1A1,,
180,148,445,Exit,1,MagEntry,1,
181,148,445,Entry,2,ITI2sec,,
182,148,785,Input,33,Off1A1,,
183,150,450,Exit,2,ITI2sec,Time,
184,150,450,Entry,3,RandomHole,,
185,150,460,Exit,3,RandomHole,Time,
186,150,460,List,,Pseudo1a5,    8,000,
187,150,460,Entry,8,hole2,,
188,150,460,Reg,12,HoleNumber,    2,000,
189,151,965,Exit,8,hole2,Time,
190,151,965,Entry,9,Holdhole2,,
191,153,470,Exit,9,Holdhole2,Time,
192,153,470,Entry,16,Omission,,
193,153,470,Reg,1,ComptOmision,    2,000,
194,153,470,Reg,9,Omision,    4,000,
195,153,480,Exit,16,Omission,Time,
196,153,480,Entry,5,TimeOut,,
197,158,485,Exit,5,TimeOut,Time,
198,158,485,Entry,1,MagEntry,,
199,158,485,Reg,2,ComptNbessai,    8,000,
200,158,485,Reg,13,Accuracy,  575,000,
201,158,485,Reg,14,Omission,    0,000,
202,169,205,Input,4,On1A4,,
203,169,870,Input,36,Off1A4,,
204,175,500,Input,3,On1A3,,
205,176,165,Input,35,Off1A3,,
206,177,495,Input,1,On1A1,,
207,177,495,Exit,1,MagEntry,1,
208,177,495,Entry,2,ITI2sec,,
209,178,160,Input,33,Off1A1,,
210,179,385,Input,2,On1A2,,
211,179,385,Input,3,On1A3,,
212,179,385,Exit,2,ITI2sec,2,
213,179,385,Entry,4,Premature,,
214,179,385,Reg,5,ComptPremat,    3,000,
215,179,390,Exit,4,Premature,Time,
216,179,390,Entry,5,TimeOut,,
217,180,050,Input,34,Off1A2,,
218,180,050,Input,35,Off1A3,,
219,180,226,Input,3,On1A3,,
220,180,226,Input,4,On1A4,,
221,180,565,Input,35,Off1A3,,
222,180,565,Input,36,Off1A4,,
223,184,395,Exit,5,TimeOut,Time,
224,184,395,Entry,1,MagEntry,,
225,184,395,Reg,2,ComptNbessai,    9,000,
226,184,395,Reg,13,Accuracy,  511,111,
227,184,395,Reg,14,Omission,    0,000,
228,187,620,Input,1,On1A1,,
229,187,620,Exit,1,MagEntry,1,
230,187,620,Entry,2,ITI2sec,,
231,188,285,Input,33,Off1A1,,
232,188,325,Input,1,On1A1,,
233,188,665,Input,33,Off1A1,,
234,189,625,Exit,2,ITI2sec,Time,
235,189,625,Entry,3,RandomHole,,
236,189,635,Exit,3,RandomHole,Time,
237,189,635,List,,Pseudo1a5,   10,000,
238,189,635,Entry,10,hole3,,
239,189,635,Reg,12,HoleNumber,    3,000,
240,189,700,Input,2,On1A2,,
241,189,700,Exit,10,hole3,2,
242,189,700,Entry,18,IncorrectResp,,
243,189,700,Reg,4,ComptIncR,    1,000,
244,189,700,Reg,1,ComptOmision,    0,000,
245,189,710,Exit,18,IncorrectResp,Time,
246,189,710,Entry,5,TimeOut,,
247,190,690,Input,34,Off1A2,,
248,194,715,Exit,5,TimeOut,Time,
249,194,715,Entry,1,MagEntry,,
250,194,715,Reg,2,ComptNbessai,   10,000,
251,194,715,Reg,13,Accuracy,  460,000,
252,194,715,Reg,14,Omission,    0,000,
253,194,965,Input,4,On1A4,,
254,195,305,Input,2,On1A2,,
255,195,305,Input,3,On1A3,,
256,195,305,Input,36,Off1A4,,
257,195,965,Input,34,Off1A2,,
258,195,965,Input,35,Off1A3,,
259,196,030,Input,3,On1A3,,
260,196,030,Input,4,On1A4,,
261,196,695,Input,35,Off1A3,,
262,196,695,Input,36,Off1A4,,
263,196,770,Input,3,On1A3,,
264,196,770,Input,4,On1A4,,
265,197,435,Input,35,Off1A3,,
266,197,435,Input,36,Off1A4,,
267,198,595,Input,1,On1A1,,
268,198,595,Exit,1,MagEntry,1,
269,198,595,Entry,2,ITI2sec,,
270,199,585,Input,33,Off1A1,,
271,200,530,Input,3,On1A3,,
272,200,530,Exit,2,ITI2sec,3,
273,200,530,Entry,4,Premature,,
274,200,530,Reg,5,ComptPremat,    4,000,
275,200,535,Exit,4,Premature,Time,
276,200,535,Entry,5,TimeOut,,
277,201,520,Input,35,Off1A3,,
278,205,540,Exit,5,TimeOut,Time,
279,205,540,Entry,1,MagEntry,,
280,205,540,Reg,2,ComptNbessai,   11,000,
281,205,540,Reg,13,Accuracy,  418,182,
282,205,540,Reg,14,Omission,    0,000,
283,222,030,Input,1,On1A1,,
284,222,030,Exit,1,MagEntry,1,
285,222,030,Entry,2,ITI2sec,,
286,222,370,Input,33,Off1A1,,
287,224,035,Exit,2,ITI2sec,Time,
288,224,035,Entry,3,RandomHole,,
289,224,045,Exit,3,RandomHole,Time,
290,224,045,List,,Pseudo1a5,   14,000,
291,224,045,Entry,14,hole5,,
292,224,045,Reg,12,HoleNumber,    5,000,
293,224,510,Input,3,On1A3,,
294,224,510,Input,4,On1A4,,
295,224,510,Exit,14,hole5,4,
296,224,510,Entry,17,CorrectResp,,
297,224,510,Reg,3,ComptCR,    2,000,
298,224,510,Reg,6,Reward,    2,000,
299,224,510,Reg,8,CptReward,   47,000,
300,224,510,Reg,1,ComptOmision,    0,000,
301,224,515,Exit,17,CorrectResp,Time,
302,224,515,Entry,1,MagEntry,,
303,224,515,Reg,2,ComptNbessai,   12,000,
304,224,515,Reg,13,Accuracy,  391,667,
305,224,515,Reg,14,Omission,    0,000,
306,224,850,Input,35,Off1A3,,
307,224,850,Input,36,Off1A4,,
308,225,485,Input,1,On1A1,,
309,225,485,Exit,1,MagEntry,1,
310,225,485,Entry,2,ITI2sec,,
311,226,800,Input,33,Off1A1,,
312,227,490,Exit,2,ITI2sec,Time,
313,227,490,Entry,3,RandomHole,,
314,227,500,Exit,3,RandomHole,Time,
315,227,500,List,,Pseudo1a5,    6,000,
316,227,500,Entry,6,hole1,,
317,227,500,Reg,12,HoleNumber,    1,000,
318,227,555,Input,3,On1A3,,
319,227,555,Exit,6,hole1,3,
320,227,555,Entry,18,IncorrectResp,,
321,227,555,Reg,4,ComptIncR,    2,000,
322,227,555,Reg,1,ComptOmision,    0,000,
323,227,565,Exit,18,IncorrectResp,Time,
324,227,565,Entry,5,TimeOut,,
325,227,895,Input,35,Off1A3,,
326,232,570,Exit,5,TimeOut,Time,
327,232,570,Entry,1,MagEntry,,
328,232,570,Reg,2,ComptNbessai,   13,000,
329,232,570,Reg,13,Accuracy,  361,538,
330,232,570,Reg,14,Omission,    0,000,
331,234,575,Input,4,On1A4,,
332,234,915,Input,36,Off1A4,,
333,234,950,Input,2,On1A2,,
334,234,950,Input,3,On1A3,,
335,235,290,Input,34,Off1A2,,
336,235,290,Input,35,Off1A3,,
337,235,420,Input,3,On1A3,,
338,235,420,Input,4,On1A4,,
