Num_line,S,MS,Cat,Num_cat,State,Display,null
1,0,0,Entry,0.0,Ready,,
2,0,5,Exit,0.0,Ready,Time,
3,0,5,Entry,1.0,MagEntry,,
7,3,575,Input,1.0,On1A1,,
8,3,575,Exit,1.0,MagEntry,1,
9,3,575,Entry,2.0,ITI2sec,,
10,3,915,Input,33.0,Off1A1,,
11,5,580,Exit,2.0,ITI2sec,Time,
12,5,580,Entry,3.0,RandomHole,,
13,5,590,Exit,3.0,RandomHole,Time,
15,5,590,Entry,6.0,hole1,,
17,7,95,Exit,6.0,hole1,Time,
18,7,95,Entry,7.0,Holdhole1,,
19,8,600,Exit,7.0,Holdhole1,Time,
20,8,600,Entry,16.0,Omission,,
23,8,610,Exit,16.0,Omission,Time,
24,8,610,Entry,5.0,TimeOut,,
25,13,615,Exit,5.0,TimeOut,Time,
26,13,615,Entry,1.0,MagEntry,,
30,63,715,Input,1.0,On1A1,,
31,63,715,Exit,1.0,MagEntry,1,
32,63,715,Entry,2.0,ITI2sec,,
33,65,35,Input,33.0,Off1A1,,
34,65,160,Input,1.0,On1A1,,
35,65,720,Exit,2.0,ITI2sec,Time,
36,65,720,Entry,3.0,RandomHole,,
37,65,730,Exit,3.0,RandomHole,Time,
39,65,730,Entry,10.0,hole3,,
41,67,126,Input,33.0,Off1A1,,
42,67,235,Exit,10.0,hole3,Time,
43,67,235,Entry,11.0,Holdhole3,,
44,68,235,Exit,11.0,Holdhole3,Time,
45,68,235,Entry,16.0,Omission,,
48,68,245,Exit,16.0,Omission,Time,
49,68,245,Entry,5.0,TimeOut,,
50,68,250,Input,4.0,On1A4,,
51,69,565,Input,36.0,Off1A4,,
52,70,585,Input,1.0,On1A1,,
53,70,925,Input,33.0,Off1A1,,
54,71,50,Input,1.0,On1A1,,
55,71,390,Input,33.0,Off1A1,,
56,71,505,Input,1.0,On1A1,,
57,71,845,Input,33.0,Off1A1,,
58,73,250,Exit,5.0,TimeOut,Time,
59,73,250,Entry,1.0,MagEntry,,
63,80,0,Input,3.0,On1A3,,
64,80,0,Input,4.0,On1A4,,
65,80,990,Input,35.0,Off1A3,,
66,80,990,Input,36.0,Off1A4,,
67,81,780,Input,1.0,On1A1,,
68,81,780,Exit,1.0,MagEntry,1,
69,81,780,Entry,2.0,ITI2sec,,
70,82,445,Input,33.0,Off1A1,,
71,82,860,Input,1.0,On1A1,,
72,83,200,Input,33.0,Off1A1,,
73,83,240,Input,1.0,On1A1,,
74,83,785,Exit,2.0,ITI2sec,Time,
75,83,785,Entry,3.0,RandomHole,,
76,83,795,Exit,3.0,RandomHole,Time,
78,83,795,Entry,12.0,hole4,,
80,84,560,Input,33.0,Off1A1,,
81,85,300,Exit,12.0,hole4,Time,
82,85,300,Entry,13.0,Holdhole4,,
83,85,400,Input,2.0,On1A2,,
84,85,400,Input,3.0,On1A3,,
85,85,400,Exit,13.0,Holdhole4,3,
86,85,400,Entry,17.0,CorrectResp,,
91,85,405,Exit,17.0,CorrectResp,Time,
92,85,405,Entry,1.0,MagEntry,,
96,86,70,Input,34.0,Off1A2,,
97,86,70,Input,35.0,Off1A3,,
98,86,305,Input,1.0,On1A1,,
99,86,305,Exit,1.0,MagEntry,1,
100,86,305,Entry,2.0,ITI2sec,,
101,87,620,Input,33.0,Off1A1,,
102,88,310,Exit,2.0,ITI2sec,Time,
103,88,310,Entry,3.0,RandomHole,,
104,88,320,Exit,3.0,RandomHole,Time,
106,88,320,Entry,14.0,hole5,,
108,89,825,Exit,14.0,hole5,Time,
109,89,825,Entry,15.0,Holdhole5,,
110,91,330,Exit,15.0,Holdhole5,Time,
111,91,330,Entry,16.0,Omission,,
114,91,340,Exit,16.0,Omission,Time,
115,91,340,Entry,5.0,TimeOut,,
116,94,145,Input,3.0,On1A3,,
117,94,485,Input,35.0,Off1A3,,
118,94,500,Input,3.0,On1A3,,
119,94,840,Input,35.0,Off1A3,,
120,94,985,Input,4.0,On1A4,,
121,95,325,Input,36.0,Off1A4,,
122,95,350,Input,2.0,On1A2,,
123,95,350,Input,3.0,On1A3,,
124,96,15,Input,34.0,Off1A2,,
125,96,15,Input,35.0,Off1A3,,
126,96,345,Exit,5.0,TimeOut,Time,
127,96,345,Entry,1.0,MagEntry,,
131,111,885,Input,4.0,On1A4,,
132,112,550,Input,36.0,Off1A4,,
133,122,940,Input,4.0,On1A4,,
134,123,605,Input,36.0,Off1A4,,
135,123,720,Input,2.0,On1A2,,
136,123,720,Input,3.0,On1A3,,
137,124,385,Input,34.0,Off1A2,,
138,124,385,Input,35.0,Off1A3,,
139,124,575,Input,3.0,On1A3,,
140,124,575,Input,4.0,On1A4,,
141,125,565,Input,35.0,Off1A3,,
142,125,565,Input,36.0,Off1A4,,
143,131,210,Input,1.0,On1A1,,
144,131,210,Exit,1.0,MagEntry,1,
145,131,210,Entry,2.0,ITI2sec,,
146,131,875,Input,33.0,Off1A1,,
147,133,90,Input,3.0,On1A3,,
148,133,90,Exit,2.0,ITI2sec,3,
149,133,90,Entry,4.0,Premature,,
151,133,95,Exit,4.0,Premature,Time,
152,133,95,Entry,5.0,TimeOut,,
153,133,430,Input,35.0,Off1A3,,
154,133,475,Input,3.0,On1A3,,
155,134,140,Input,35.0,Off1A3,,
156,138,100,Exit,5.0,TimeOut,Time,
157,138,100,Entry,1.0,MagEntry,,
161,140,300,Input,1.0,On1A1,,
162,140,300,Exit,1.0,MagEntry,1,
163,140,300,Entry,2.0,ITI2sec,,
164,140,965,Input,33.0,Off1A1,,
165,141,930,Input,2.0,On1A2,,
166,141,930,Exit,2.0,ITI2sec,2,
167,141,930,Entry,4.0,Premature,,
169,141,935,Exit,4.0,Premature,Time,
170,141,935,Entry,5.0,TimeOut,,
171,142,595,Input,34.0,Off1A2,,
172,142,620,Input,3.0,On1A3,,
173,142,960,Input,35.0,Off1A3,,
174,146,940,Exit,5.0,TimeOut,Time,
175,146,940,Entry,1.0,MagEntry,,
179,148,445,Input,1.0,On1A1,,
180,148,445,Exit,1.0,MagEntry,1,
181,148,445,Entry,2.0,ITI2sec,,
182,148,785,Input,33.0,Off1A1,,
183,150,450,Exit,2.0,ITI2sec,Time,
184,150,450,Entry,3.0,RandomHole,,
185,150,460,Exit,3.0,RandomHole,Time,
187,150,460,Entry,8.0,hole2,,
189,151,965,Exit,8.0,hole2,Time,
190,151,965,Entry,9.0,Holdhole2,,
191,153,470,Exit,9.0,Holdhole2,Time,
192,153,470,Entry,16.0,Omission,,
195,153,480,Exit,16.0,Omission,Time,
196,153,480,Entry,5.0,TimeOut,,
197,158,485,Exit,5.0,TimeOut,Time,
198,158,485,Entry,1.0,MagEntry,,
202,169,205,Input,4.0,On1A4,,
203,169,870,Input,36.0,Off1A4,,
204,175,500,Input,3.0,On1A3,,
205,176,165,Input,35.0,Off1A3,,
206,177,495,Input,1.0,On1A1,,
207,177,495,Exit,1.0,MagEntry,1,
208,177,495,Entry,2.0,ITI2sec,,
209,178,160,Input,33.0,Off1A1,,
210,179,385,Input,2.0,On1A2,,
211,179,385,Input,3.0,On1A3,,
212,179,385,Exit,2.0,ITI2sec,2,
213,179,385,Entry,4.0,Premature,,
215,179,390,Exit,4.0,Premature,Time,
216,179,390,Entry,5.0,TimeOut,,
217,180,50,Input,34.0,Off1A2,,
218,180,50,Input,35.0,Off1A3,,
219,180,226,Input,3.0,On1A3,,
220,180,226,Input,4.0,On1A4,,
221,180,565,Input,35.0,Off1A3,,
222,180,565,Input,36.0,Off1A4,,
223,184,395,Exit,5.0,TimeOut,Time,
224,184,395,Entry,1.0,MagEntry,,
228,187,620,Input,1.0,On1A1,,
229,187,620,Exit,1.0,MagEntry,1,
230,187,620,Entry,2.0,ITI2sec,,
